review_id,user_id,user_name,film_title,rating,review_text,review_date
1,user_181,Cô Kim Dương,Phim_title_55,9,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2023-12-23
2,user_271,Phương Thế Hoàng,Phim_title_173,9,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2023-10-05
3,user_124,Anh Dương,Phim_title_162,1,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2021-03-09
4,user_406,Quý ông Trung Vũ,Phim_title_24,6,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2023-10-23
5,user_142,Thành Quang Dương,Phim_title_187,6,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2021-06-27
6,user_185,Nhật Tấn Phạm,Phim_title_121,9,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2023-04-08
7,user_176,Bác Anh Trần,Phim_title_39,3,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2024-08-11
8,user_049,Khoa Đức Dương,Phim_title_95,3,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2024-12-22
9,user_118,Bà Yến Dương,Phim_title_40,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2024-08-02
10,user_337,Tùng Nguyễn,Phim_title_152,7,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2025-06-06
11,user_356,Quý ông Khoa Đặng,Phim_title_109,4,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2023-09-13
12,user_457,Phúc Phú Mai,Phim_title_84,2,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2025-06-21
13,user_363,Quý ông Anh Nguyễn,Phim_title_95,7,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2024-11-13
14,user_060,Quang Mai,Phim_title_166,9,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2021-07-29
15,user_253,Bà Kim Bùi,Phim_title_75,1,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2025-07-12
16,user_021,Kim Hải Đặng,Phim_title_182,5,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2025-06-30
17,user_281,Trọng Vũ,Phim_title_82,1,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2022-02-28
18,user_056,Chị Hồng Đặng,Phim_title_98,4,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2022-04-11
19,user_225,Hà Bảo Hoàng,Phim_title_32,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2022-09-08
20,user_210,Huy Nguyễn,Phim_title_14,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2023-04-19
21,user_217,Bà Ánh Trần,Phim_title_183,2,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2022-05-07
22,user_047,Tùng Dương,Phim_title_189,6,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2021-08-31
23,user_178,Phương Đặng,Phim_title_125,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2025-04-30
24,user_314,Nhiên Hoàng,Phim_title_88,4,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2023-08-09
25,user_019,Cô Phương Bùi,Phim_title_117,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2023-11-14
26,user_009,Ông Anh Hoàng,Phim_title_123,9,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2023-11-07
27,user_058,Thành Mai Bảo Đặng,Phim_title_164,5,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2021-01-06
28,user_256,Khoa Trí Mai,Phim_title_138,8,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2021-01-29
29,user_477,Nhiên Trí Đặng,Phim_title_93,7,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2024-02-10
30,user_212,Khoa Dương,Phim_title_162,9,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2021-07-02
31,user_275,Bà Hồng Bùi,Phim_title_109,3,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2021-10-14
32,user_479,Bác Vũ Dương,Phim_title_191,3,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2025-04-29
33,user_069,Ông Tú Vũ,Phim_title_111,9,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2022-07-02
34,user_283,Anh Phạm,Phim_title_140,7,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2022-11-26
35,user_112,Bác Nam Vũ,Phim_title_113,7,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2021-12-06
36,user_455,Yến Đặng,Phim_title_193,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2020-12-13
37,user_335,Chị Lâm Nguyễn,Phim_title_101,6,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2021-09-07
38,user_280,Nhật Hữu Nguyễn,Phim_title_186,8,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2024-02-22
39,user_443,Dương Lê,Phim_title_182,2,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2023-05-14
40,user_251,Anh Trọng Lê,Phim_title_55,3,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2025-07-01
41,user_205,Bác Quang Nguyễn,Phim_title_195,6,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2021-01-12
42,user_077,Hà Văn Bùi,Phim_title_164,5,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2020-10-13
43,user_104,Huy Phạm,Phim_title_110,9,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2022-01-05
44,user_378,Ngọc Trần,Phim_title_107,1,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2024-12-12
45,user_318,Bà Nhật Dương,Phim_title_183,8,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2022-03-25
46,user_344,Trung Nguyễn,Phim_title_95,2,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2022-11-15
47,user_100,Minh Trí Phạm,Phim_title_100,2,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2024-04-12
48,user_209,Trọng Trí Mai,Phim_title_179,6,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2024-06-05
49,user_222,Quang Dương,Phim_title_178,3,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2024-03-08
50,user_493,Anh Quang Nguyễn,Phim_title_191,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2025-05-30
51,user_085,Cô Nhật Vũ,Phim_title_58,1,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2020-11-19
52,user_471,Quý ông Anh Bùi,Phim_title_26,2,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2024-03-30
53,user_294,An Hải Lê,Phim_title_73,5,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2023-08-30
54,user_435,Quang Bảo Đặng,Phim_title_124,8,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2024-12-19
55,user_282,Hải Mai Bảo Vũ,Phim_title_14,8,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2024-06-18
56,user_116,Nhật Mai Bảo Vũ,Phim_title_40,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2023-06-16
57,user_259,Quý ông Hoàng Vũ,Phim_title_99,10,"This film is a masterpiece! The acting is phenomenal, and the story is deeply moving. Highly recommend it.",2023-02-06
58,user_053,Quý ông Dũng Bùi,Phim_title_193,4,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2023-12-09
59,user_347,Quý cô Vân Dương,Phim_title_165,5,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2023-06-24
60,user_422,Cô Hồng Mai,Phim_title_47,1,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2021-07-28
61,user_093,Quý cô Kim Dương,Phim_title_178,4,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2025-07-05
62,user_495,Hương Mai,Phim_title_65,4,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2024-11-22
63,user_482,Anh Châu Trần,Phim_title_87,1,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2023-09-07
64,user_373,Anh Văn Phạm,Phim_title_90,3,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2024-11-03
65,user_221,Bà Ngọc Trần,Phim_title_72,3,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2022-12-29
66,user_127,Quý ông Trọng Trần,Phim_title_152,4,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2022-11-03
67,user_244,Nhật Dương,Phim_title_31,2,"Completely disappointed. The plot is weak, and the characters are unconvincing. A huge waste of time, I would not watch it again.",2022-09-28
68,user_314,Nhiên Hoàng,Phim_title_6,7,"An average movie with some good moments, but it fails to leave a lasting impression. The plot is a bit predictable, but it's okay for a casual watch.",2025-06-29
